TIME,P,TAVG,PSGA,PSGB,LVPZ,TBLD,RM1,RBLK
1740,157.0601654,298.8077393,69.30833435,69.3083725,33.5903244,40,0.0011,2321.043457
1750,157.1158142,298.8060913,69.30872345,69.30878448,33.77763748,40,0.0011,2334.378418
1760,157.0886841,298.8025513,69.30667114,69.30670929,33.76434326,40,0.0011,2347.713379
1770,157.0932617,298.8051758,69.30587769,69.30591583,33.76296616,40,0.0011,2361.04834
1780,157.094223,298.8055725,69.30657196,69.30661011,33.75870895,40,0.0011,2374.383301
1790,157.1007233,298.8044434,69.30643463,69.30647278,33.7399292,40,0.0011,2387.718262
1800,157.1015625,298.8042297,69.30615234,69.30619049,33.72751999,40,0.0011,2401.053223
1810,157.0943604,298.8058777,69.30635834,69.30639648,33.71466064,40,0.0011,2414.388184
1820,157.0914459,298.8045654,69.30635834,69.30639648,33.71716309,40,0.0011,2427.723145
1830,157.1068878,298.8049316,69.30620575,69.3062439,33.69297791,40,0.0011,2441.058105
1840,157.0874481,298.8045959,69.30625153,69.30628967,33.70483017,40,0.0011,2454.393066
1850,157.0948334,298.8049316,69.3061142,69.30615234,33.68333817,40,0.0011,2467.728027
1860,157.1095123,298.8042297,69.30621338,69.30625153,33.6832695,40,0.0011,2481.062988
1870,157.0891113,298.804657,69.30610657,69.30612946,33.68124008,40,0.0011,2494.397949
1880,157.0862427,298.804657,69.3061676,69.30621338,33.66926575,40,0.0011,2507.73291
1890,157.0830994,298.8041382,69.30606842,69.30610657,33.6729126,40,0.0011,2521.067871
1900,157.0920715,298.8051758,69.30615997,69.30620575,33.67573929,40,0.0011,2534.402832
1910,157.0996094,298.8051758,69.30615234,69.30619049,33.65884781,40,0.0011,2547.737793
1920,157.0995483,298.8049622,69.30606079,69.30609894,33.67049789,40,0.0011,2561.072754
1930,157.0886078,298.8051147,69.30594635,69.3059845,33.66283417,40,0.0011,2574.407715
1940,157.0922699,298.8049622,69.30626678,69.30630493,33.65332794,40,0.0011,2587.742676
1950,157.0887451,298.8039551,69.30607605,69.3061142,33.66131973,40,0.0011,2601.077637
1960,157.0802917,298.8047791,69.30609894,69.30613708,33.65285492,40,0.0011,2614.412598
1970,157.0997162,298.8078308,69.30660248,69.30664063,33.73197937,40,0.0011,2627.747559
1980,157.1059265,298.8081665,69.30904388,69.3090744,33.8433876,40,0.0011,2641.08252
1990,157.093811,298.8034363,69.30709839,69.30713654,33.84632874,40,0.0011,2654.41748
2000,157.0928802,298.8056946,69.30625153,69.30628967,33.82927704,40,0.0011,2667.752441
2010,157.0877838,298.805542,69.30692291,69.30696106,33.83969498,40,0.0011,2681.087402
2020,157.0901489,298.8054504,69.30699158,69.30702972,33.83789825,40,0.0011,2694.422363
2030,157.0929108,298.8052673,69.30677032,69.30680847,33.81884384,40,0.0011,2707.757324
2040,157.0950012,298.8061523,69.30677795,69.3068161,33.82976913,40,0.0011,2721.092285
2050,157.0919189,298.8057556,69.30680084,69.30683899,33.81119537,40,0.0011,2734.427246
2060,157.0836945,298.8061829,69.30696106,69.30699921,33.81044388,40,0.0011,2747.762207
2070,157.0889893,298.8052368,69.30677795,69.3068161,33.82415009,40,0.0011,2761.097168
2080,157.0926971,298.805542,69.30677032,69.30680847,33.80870438,40,0.0011,2774.432129
2090,157.0945282,298.8060303,69.30682373,69.30686188,33.82154846,40,0.0011,2787.76709
2100,157.0916138,298.8057251,69.30677795,69.3068161,33.80495453,40,0.0011,2801.102051
2110,157.0834656,298.8062744,69.30696106,69.30699158,33.80667114,40,0.0011,2814.437012
2120,157.0886841,298.8052673,69.30679321,69.30683136,33.82245255,40,0.0011,2827.771973
2130,157.0922394,298.8055725,69.30680084,69.30683899,33.80897522,40,0.0011,2841.106934
2140,157.0939484,298.8060608,69.30686188,69.30690002,33.82370377,40,0.0011,2854.441895
2150,157.0895844,298.8053589,69.30686188,69.30690002,33.80810165,40,0.0011,2867.776855
2160,157.1118164,298.8062744,69.30688477,69.30692291,33.81212234,40,0.0011,2881.111816
2170,157.0861816,298.8051453,69.30690765,69.3069458,33.829422,40,0.0011,2894.446777
2180,157.1147766,298.8052979,69.30699158,69.30702972,33.8262558,40,0.0011,2907.781738
2190,157.0896454,298.8055725,69.30684662,69.30688477,33.83315659,40,0.0011,2921.116699
2200,157.0957489,298.8057556,69.30700684,69.30704498,33.84186172,40,0.0011,2934.45166
2210,157.1067657,298.8058167,69.30693054,69.30696869,33.8243103,40,0.0011,2947.786621
2220,157.1007538,298.8063965,69.30704498,69.30708313,33.8367157,40,0.0011,2961.121582
2230,157.109375,298.8050842,69.30693054,69.30696869,33.84129333,40,0.0011,2974.456543
2240,157.0964355,298.8063354,69.30713654,69.30717468,33.84042358,40,0.0011,2987.791504
2250,157.0883484,298.8051147,69.30701447,69.30705261,33.85823059,40,0.0011,3001.126465
2260,157.0905609,298.8058777,69.30709839,69.30713654,33.86575699,40,0.0011,3014.461426
2270,157.091507,298.8056946,69.30709839,69.30713654,33.8549118,40,0.0011,3027.796387
2280,157.0918884,298.8062134,69.30706024,69.30709839,33.87322617,40,0.0011,3041.131348
2290,157.0877991,298.8057251,69.30723572,69.30727386,33.86537933,40,0.0011,3054.466309
2300,157.1065216,298.8063354,69.30709839,69.30713654,33.86676407,40,0.0011,3067.80127
2310,157.098877,298.8066101,69.30730438,69.30734253,33.88039017,40,0.0011,3081.13623
2320,157.1053467,298.8048401,69.30731964,69.30735779,33.88838959,40,0.0011,3094.471191
2330,157.091095,298.8062744,69.30712891,69.30716705,33.88578033,40,0.0011,3107.806152
2340,157.1103058,298.8066711,69.30737305,69.30741119,33.89302444,40,0.0011,3121.141113
2350,157.1004181,298.806427,69.30743408,69.30747223,33.90620422,40,0.0011,3134.476074
2360,157.1071777,298.8052063,69.30711365,69.30715942,33.91279984,40,0.0011,3147.811035
2370,157.0928497,298.8067322,69.30740356,69.30744171,33.91360855,40,0.0011,3161.145996
2380,157.1101074,298.8065796,69.30755615,69.3075943,33.91999054,40,0.0011,3174.480957
2390,157.0997314,298.8064575,69.30747223,69.30751038,33.93379974,40,0.0011,3187.815918
2400,157.1049194,298.8050842,69.30729675,69.3073349,33.94066238,40,0.0011,3201.150879
2410,157.0904846,298.8067627,69.30744934,69.30748749,33.94182205,40,0.0011,3214.48584
2420,157.1077576,298.8067322,69.30762482,69.30766296,33.94890594,40,0.0011,3227.820801
2430,157.0970001,298.8066101,69.30758667,69.30762482,33.96292877,40,0.0011,3241.155762
2440,157.092804,298.8065796,69.30760193,69.30764008,33.98237991,40,0.0011,3254.490723
2450,157.0931854,298.8061523,69.30770874,69.30775452,33.99334717,40,0.0011,3267.825684
2460,157.0897369,298.8061523,69.30775452,69.30779266,34.00037003,40,0.0011,3281.160645
2470,157.1125946,298.8058472,69.30780792,69.30784607,34.0002594,40,0.0011,3294.495605
2480,157.0938263,298.8067322,69.30783081,69.30786896,33.9996109,40,0.0011,3307.830566
2490,157.1091461,298.8069153,69.30784607,69.30788422,34.0071907,40,0.0011,3321.165527
2500,157.0966797,298.8069763,69.30786896,69.3079071,34.02172852,40,0.0011,3334.500488
2510,157.0907288,298.8067627,69.30789185,69.30792999,34.0408783,40,0.0011,3347.835449
2520,157.0898132,298.8063354,69.30793762,69.30797577,34.05174637,40,0.0011,3361.17041
2530,157.085495,298.806366,69.30799103,69.30802917,34.0585556,40,0.0011,3374.505371
2540,157.1077118,298.8060608,69.30802155,69.30805206,34.05849838,40,0.0011,3387.840332
2550,157.0883331,298.8069458,69.30805206,69.30809021,34.05760193,40,0.0011,3401.175293
2560,157.1032257,298.8070679,69.30806732,69.30810547,34.06515884,40,0.0011,3414.510254
2570,157.0903931,298.8071899,69.30809021,69.30812836,34.07966614,40,0.0011,3427.845215
2580,157.0840912,298.8069458,69.3081131,69.30815125,34.09867859,40,0.0011,3441.180176
2590,157.0829315,298.8065186,69.3081665,69.30820465,34.10943604,40,0.0011,3454.515137
2600,157.1032715,298.8103333,69.30934143,69.30937958,34.20631027,40,0.0011,3467.850098
2610,157.0864716,298.8060913,69.30886078,69.30889893,34.20140076,40,0.0011,3481.185059
2620,157.0995331,298.807312,69.30810547,69.30813599,34.20660019,40,0.0011,3494.52002
2630,157.095108,298.8098145,69.30990601,69.30994415,34.3228302,40,0.0011,3507.85498
2640,157.1019592,298.8064575,69.3090744,69.30911255,34.31494522,40,0.0011,3521.189941
